accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
3,1.0,1.0,2,1125,4.88,1,4.92,26,51,83,1.0
7,3.0,3.0,30,1125,5.0,0,5.0,5,35,125,1.0
2,1.0,2.0,30,1125,5.0,0,5.0,6,20,216,0.0
4,1.0,2.0,1,28,4.95,9,5.0,26,48,320,1.0
8,4.0,5.0,3,10,5.0,8,4.5,8,8,8,1.0
4,1.0,1.0,1,11,4.92,0,4.98,4,6,188,0.0
8,3.0,4.0,2,1125,4.95,0,4.95,13,33,294,1.0
2,1.0,1.0,2,1125,4.84,14,4.79,17,17,17,0.0
4,2.0,2.0,2,29,5.0,12,5.0,22,29,50,1.0
8,3.0,3.0,1,365,5.0,2,4.93,11,20,253,1.0
4,1.0,2.0,1,365,4.88,8,4.94,33,53,323,1.0
13,4.0,7.0,2,60,4.77,9,4.95,28,47,306,1.0
3,1.0,1.0,2,1125,4.81,12,4.92,32,62,331,0.0
4,2.0,3.0,2,365,5.0,0,5.0,4,7,203,1.0
2,1.0,1.0,1,1125,4.91,0,5.0,0,0,159,0.0
6,3.0,3.0,3,1125,4.85,7,4.79,24,50,321,1.0
4,2.0,2.0,2,365,4.73,12,5.0,35,58,329,1.0
2,1.0,1.0,1,365,5.0,11,5.0,37,62,305,1.0
2,1.0,1.0,2,365,5.0,15,5.0,38,63,307,1.0
2,1.0,1.0,1,365,5.0,16,5.0,38,65,312,1.0
2,1.0,1.0,1,1125,4.89,9,4.93,33,61,61,0.0
8,3.0,5.0,2,1125,4.1,23,4.9,53,83,358,1.0
2,1.0,1.0,1,365,5.0,17,5.0,42,66,317,1.0
2,1.0,1.0,1,22,4.88,6,4.97,6,7,7,0.0
7,2.0,4.0,29,1125,5.0,0,5.0,0,11,269,0.0
6,3.0,4.0,2,1125,4.78,8,4.83,33,58,319,1.0
2,1.0,1.0,60,90,4.33,0,4.33,1,1,224,0.0
2,1.0,1.0,1,45,4.69,14,4.78,14,14,14,0.0
2,1.0,1.0,1,15,4.85,14,4.82,14,15,15,0.0
5,3.0,3.0,29,1125,5.0,0,5.0,0,0,123,0.0
3,1.0,2.0,2,90,5.0,0,4.96,18,48,127,0.0
2,1.0,1.0,1,45,4.91,16,4.89,16,16,16,0.0
1,1.0,1.0,1,45,4.94,13,4.9,13,13,13,0.0
7,3.0,4.0,30,150,5.0,1,5.0,1,1,1,1.0
2,1.0,1.0,3,10,4.98,5,5.0,28,58,144,0.0
6,2.0,3.0,1,365,4.84,15,4.98,34,52,316,0.0
2,1.0,1.0,1,1125,4.99,2,4.99,4,13,206,0.0
4,2.0,2.0,2,5,5.0,0,5.0,13,39,110,0.0
10,4.0,6.0,3,1125,5.0,5,5.0,5,27,281,1.0
4,2.0,2.0,2,1125,5.0,0,4.67,7,37,312,0.0
8,3.0,5.0,1,365,4.75,8,4.86,25,44,298,1.0
4,2.0,2.0,2,1125,4.97,5,4.92,21,31,109,1.0
5,2.0,2.0,2,28,5.0,1,5.0,11,19,74,1.0
4,1.0,2.0,1,1125,4.98,2,5.0,11,26,96,0.0
9,3.0,5.0,3,1125,4.83,12,4.92,41,71,342,1.0
4,2.0,2.0,2,30,5.0,1,5.0,5,15,266,0.0
6,2.0,3.0,1,365,5.0,2,5.0,16,37,296,1.0
6,1.0,5.0,1,1125,4.91,16,4.94,23,53,327,0.0
10,4.0,6.0,3,1125,5.0,2,5.0,13,31,277,1.0
2,1.0,1.0,2,1125,4.56,19,4.17,49,79,354,0.0
4,1.0,2.0,1,7,4.91,0,4.91,0,0,0,0.0
4,2.0,2.0,2,1125,4.4,0,4.8,8,37,306,0.0
